x,y,L_track,R_track
-7.5625,47.9591836734694,1.5,1.5
-7.5625,46.9387755102041,1.5,1.5
-7.5625,45.9183673469388,1.5,1.5
-7.5625,44.8979591836735,1.5,1.5
-7.5625,43.8775510204082,1.5,1.5
-7.5625,42.8571428571429,1.5,1.5
-7.5625,41.8367346938776,1.5,1.5
-7.5625,40.8163265306122,1.5,1.5
-7.5625,39.7959183673469,1.5,1.5
-7.5625,38.7755102040816,1.5,1.5
-7.5625,37.7551020408163,1.5,1.5
-7.5625,36.734693877551,1.5,1.5
-7.5625,35.7142857142857,1.5,1.5
-7.5625,34.6938775510204,1.5,1.5
-7.5625,33.6734693877551,1.5,1.5
-7.5625,32.6530612244898,1.5,1.5
-7.5625,31.6326530612245,1.5,1.5
-7.5625,30.6122448979592,1.5,1.5
-7.5625,29.5918367346939,1.5,1.5
-7.5625,28.5714285714286,1.5,1.5
-7.5625,27.5510204081633,1.5,1.5
-7.5625,26.530612244898,1.5,1.5
-7.5625,25.5102040816327,1.5,1.5
-7.5625,24.4897959183673,1.5,1.5
-7.5625,23.469387755102,1.5,1.5
-7.5625,22.4489795918367,1.5,1.5
-7.5625,21.4285714285714,1.5,1.5
-7.5625,20.4081632653061,1.5,1.5
-7.5625,19.3877551020408,1.5,1.5
-7.5625,18.3673469387755,1.5,1.5
-7.5625,17.3469387755102,1.5,1.5
-7.5625,16.3265306122449,1.5,1.5
-7.5625,15.3061224489796,1.5,1.5
-7.5625,14.2857142857143,1.5,1.5
-7.5625,13.265306122449,1.5,1.5
-7.5625,12.2448979591837,1.5,1.5
-7.5625,11.2244897959184,1.5,1.5
-7.5625,10.2040816326531,1.5,1.5
-7.5625,9.18367346938776,1.5,1.5
-7.5625,8.16326530612245,1.5,1.5
-7.5625,7.14285714285715,1.5,1.5
-7.5625,6.12244897959184,1.5,1.5
-7.5625,5.10204081632653,1.5,1.5
-7.5625,4.08163265306123,1.5,1.5
-7.5625,3.06122448979592,1.5,1.5
-7.5625,2.04081632653061,1.5,1.5
-7.5625,1.02040816326531,1.5,1.5
-7.5625,0,1.5,1.5
-7.55178163605551,-0.402492697243975,1.5,1.5
-7.51965692658916,-0.8038444852082,1.5,1.5
-7.46621693258017,-1.20291768864423,1.5,1.5
-7.39161313549762,-1.59858109119903,1.5,1.5
-7.29605700790978,-1.98971314197063,1.5,1.5
-7.17981941404213,-2.37520513466599,1.5,1.5
-7.04322984198331,-2.75396435034947,1.5,1.5
-6.88667546971528,-3.12491715487336,1.5,1.5
-6.71060006761532,-3.48701204221053,1.5,1.5
-6.51550274054066,-3.83922261506248,1.5,1.5
-6.30193651306152,-4.18055049429403,1.5,1.5
-6.07050676185291,-4.51002814894741,1.5,1.5
-5.82186949968867,-4.82672163881395,1.5,1.5
-5.55672951590195,-5.12973326178897,1.5,1.5
-5.27583837858332,-5.41820409850601,1.5,1.5
-4.97999230417936,-5.69131644703705,1.5,1.5
-4.67002990053058,-5.94829614075748,1.5,1.5
-4.34682978974645,-6.18841474280553,1.5,1.5
-4.01130811765555,-6.41099161091564,1.5,1.5
-3.66441595689067,-6.61539582677295,1.5,1.5
-3.3071366109701,-6.80104798441984,1.5,1.5
-2.94048282701699,-6.967421832645,1.5,1.5
-2.56549392501761,-7.11404576669969,1.5,1.5
-2.18323285175589,-7.24050416511266,1.5,1.5
-1.79478316777531,-7.34643856781437,1.5,1.5
-1.4012459759088,-7.43154869223094,1.5,1.5
-1.00373680008315,-7.4955932844678,1.5,1.5
-0.60338242324519,-7.53839080317005,1.5,1.5
-0.201317693373175,-7.55981993412111,1.5,1.5
0.201317693373172,-7.55981993412111,1.5,1.5
0.603382423245188,-7.53839080317005,1.5,1.5
1.00373680008315,-7.4955932844678,1.5,1.5
1.4012459759088,-7.43154869223094,1.5,1.5
1.79478316777531,-7.34643856781437,1.5,1.5
2.18323285175588,-7.24050416511267,1.5,1.5
2.5654939250176,-7.11404576669969,1.5,1.5
2.94048282701698,-6.967421832645,1.5,1.5
3.30713661097009,-6.80104798441985,1.5,1.5
3.66441595689067,-6.61539582677296,1.5,1.5
4.01130811765555,-6.41099161091564,1.5,1.5
4.34682978974645,-6.18841474280553,1.5,1.5
4.67002990053057,-5.94829614075748,1.5,1.5
4.97999230417936,-5.69131644703705,1.5,1.5
5.27583837858332,-5.41820409850601,1.5,1.5
5.55672951590194,-5.12973326178898,1.5,1.5
5.82186949968866,-4.82672163881395,1.5,1.5
6.07050676185291,-4.51002814894742,1.5,1.5
6.30193651306152,-4.18055049429403,1.5,1.5
6.51550274054066,-3.83922261506248,1.5,1.5
6.71060006761532,-3.48701204221053,1.5,1.5
6.88667546971528,-3.12491715487336,1.5,1.5
7.04322984198331,-2.75396435034946,1.5,1.5
7.17981941404213,-2.37520513466599,1.5,1.5
7.29605700790978,-1.98971314197063,1.5,1.5
7.39161313549762,-1.59858109119904,1.5,1.5
7.46621693258017,-1.20291768864423,1.5,1.5
7.51965692658916,-0.803844485208209,1.5,1.5
7.55178163605551,-0.402492697243981,1.5,1.5
7.5625,-1.85227828371037e-15,1.5,1.5
7.5625,1.04166666666667,1.5,1.5
7.5625,2.08333333333333,1.5,1.5
7.5625,3.125,1.5,1.5
7.5625,4.16666666666667,1.5,1.5
