x,y,wl,wr
-4.4643205960425,-17.0833582864653,1.5,1.5
-4.60272442406815,-17.0041213263972,1.5,1.5
-4.73972231507719,-16.9224776290772,1.5,1.5
-4.87527242202674,-16.8384521331908,1.5,1.5
-5.00933334011059,-16.7520705049617,1.5,1.5
-5.14186411940649,-16.6633591303121,1.5,1.5
-5.27282427738469,-16.572345106803,1.5,1.5
-5.40217381127361,-16.4790562353568,1.5,1.5
-5.52987321027898,-16.3835210117653,1.5,1.5
-5.65588346765272,-16.285768617986,1.5,1.5
-5.78016609260787,-16.1858289132273,1.5,1.5
-5.90268312207584,-16.0837324248286,1.5,1.5
-6.02339713230256,-15.9795103389352,1.5,1.5
-6.14227125027985,-15.8731944909721,1.5,1.5
-6.25926916500851,-15.7648173559198,1.5,1.5
-6.37435513858987,-15.6544120383946,1.5,1.5
-6.48749401714211,-15.5420122625366,1.5,1.5
-6.59865124153836,-15.4276523617081,1.5,1.5
-6.70779285796299,-15.3113672680064,1.5,1.5
-6.81488552828311,-15.1931925015937,1.5,1.5
-6.9198965402319,-15.0731641598469,1.5,1.5
-7.02279381740085,-14.9513189063315,1.5,1.5
-7.12354592903776,-14.8276939596027,1.5,1.5
-7.22212209964745,-14.7023270818362,1.5,1.5
-7.31849221839243,-14.5752565672938,1.5,1.5
-7.41262684829043,-14.4465212306261,1.5,1.5
-7.50449723520617,-14.316160395016,1.5,1.5
-7.59407531663454,-14.1842138801677,1.5,1.5
-7.68133373027249,-14.050721990143,1.5,1.5
-7.76624582237704,-13.91572550105,1.5,1.5
-7.84878565590691,-13.7792656485884,1.5,1.5
-7.92892801844515,-13.6413841154529,1.5,1.5
-8.00664842990045,-13.5021230186017,1.5,1.5
-8.08192314998482,-13.3615248963908,1.5,1.5
-8.15472918546521,-13.2196326955811,1.5,1.5
-8.22504429718694,-13.0764897582194,1.5,1.5
-8.2928470068669,-12.9321398083993,1.5,1.5
-8.35811660365414,-12.7866269389058,1.5,1.5
-8.42083315045627,-12.6399955977464,1.5,1.5
-8.48097749002932,-12.4922905745742,1.5,1.5
-8.53853125082949,-12.3435569870065,1.5,1.5
-8.59347685262487,-12.1938402668436,1.5,1.5
-8.64579751186548,-12.0431861461909,1.5,1.5
-8.6954772468099,-11.8916406434901,1.5,1.5
-8.74250088240703,-11.739250049462,1.5,1.5
-8.78685405493142,-11.5860609129673,1.5,1.5
-8.82852321637078,-11.4321200267871,1.5,1.5
-8.86749563856433,-11.2774744133305,1.5,1.5
-8.9037594170907,-11.1221713102708,1.5,1.5
-8.93730347490423,-10.9662581561163,1.5,1.5
-8.96811756571854,-10.8097825757203,1.5,1.5
-8.99619227713634,-10.6527923657331,1.5,1.5
-9.02151903352452,-10.4953354800029,1.5,1.5
-9.0440900986336,-10.3374600149273,1.5,1.5
-9.06389857796091,-10.1792141947622,1.5,1.5
-9.08093842085649,-10.0206463568912,1.5,1.5
-9.09520442237133,-9.86180493706068,1.5,1.5
-9.10669222484729,-9.70273845458475,1.5,1.5
-9.11539831924813,-9.54349549752454,1.5,1.5
-9.12132004623143,-9.38412470784673,1.5,1.5
-9.12445559696085,-9.22467476656541,1.5,1.5
-9.12480401365868,-9.06519437887212,1.5,1.5
-9.1223651898984,-8.90573225925853,1.5,1.5
-9.1171398706372,-8.74633711663613,1.5,1.5
-9.1091296519884,-8.58705763945783,1.5,1.5
-9.09833698073392,-8.42794248084563,1.5,1.5
-9.08476515357688,-8.26904024372917,1.5,1.5
-9.06841831613464,-8.11039946599964,1.5,1.5
-9.04930146167242,-7.95206860568345,1.5,1.5
-9.02742042957814,-7.79409602614041,1.5,1.5
-9.00278190357867,-7.63652998129073,1.5,1.5
-8.9753934096983,-7.47941860087557,1.5,1.5
-8.9452633139598,-7.32280987575534,1.5,1.5
-8.91240081982899,-7.16675164325062,1.5,1.5
-8.87681596540345,-7.01129157252984,1.5,1.5
-8.83851962034636,-6.8564771500484,1.5,1.5
-8.79752348256618,-6.70235566504354,1.5,1.5
-8.75384007464354,-6.54897419508951,1.5,1.5
-8.70748274000606,-6.39637959171736,1.5,1.5
-8.65846563885252,-6.2446184661038,1.5,1.5
-8.6068037438275,-6.09373717483341,1.5,1.5
-8.55251283544791,-5.94378180573876,1.5,1.5
-8.49560949728268,-5.79479816382245,1.5,1.5
-8.43611111088719,-5.64683175726566,1.5,1.5
-8.37403585049396,-5.49992778352735,1.5,1.5
-8.30940267746116,-5.3541311155383,1.5,1.5
-8.24223133448074,-5.20948628799441,1.5,1.5
-8.1725423395479,-5.06603748375316,1.5,1.5
-8.10035697969366,-4.92382852033767,1.5,1.5
-8.02569730448261,-4.7829028365523,1.5,1.5
-7.94858611927769,-4.64330347921392,1.5,1.5
-7.86904697827414,-4.50507309000298,1.5,1.5
-7.78710417730465,-4.36825389243819,1.5,1.5
-7.70278274641808,-4.23288767897916,1.5,1.5
-7.61610844223378,-4.09901579826047,1.5,1.5
-7.52710774007405,-3.96667914246144,1.5,1.5
-7.43580782587708,-3.83591813481534,1.5,1.5
-7.34223658789278,-3.7067727172618,1.5,1.5
-7.2464226081641,-3.57928233824618,1.5,1.5
-7.14839515379643,-3.45348594066983,1.5,1.5
-7.04818416801773,-3.32942194999462,1.5,1.5
-6.94582026103221,-3.20712826250564,1.5,1.5
-6.84133470067009,-3.08664223373546,1.5,1.5
-6.73475940283672,-2.9680006670536,1.5,1.5
-6.62612692176358,-2.85123980242471,1.5,1.5
-6.51547044006431,-2.73639530533872,1.5,1.5
-6.40282375859889,-2.6235022559166,1.5,1.5
-6.28822128614889,-2.51259513819488,1.5,1.5
-6.17169802890701,-2.40370782959219,1.5,1.5
-6.05328957978423,-2.2968735905612,1.5,1.5
-5.93303210753765,-2.19212505442891,1.5,1.5
-5.81096234572248,-2.08949421742861,1.5,1.5
-5.6871175814715,-1.98901242892634,1.5,1.5
-5.56153564410542,-1.89071038184502,1.5,1.5
-5.43425489357764,-1.79461810328906,1.5,1.5
-5.30531420875686,-1.70076494537231,1.5,1.5
-5.17475297555133,-1.60917957625233,1.5,1.5
-5.04261107487803,-1.51988997137336,1.5,1.5
-4.90892887048079,-1.43292340492113,1.5,1.5
-4.7737471966009,-1.34830644149166,1.5,1.5
-4.63710734550391,-1.26606492797696,1.5,1.5
-4.49905105486668,-1.18622398566989,1.5,1.5
-4.35962049502821,-1.10880800259063,1.5,1.5
-4.21885825610847,-1.03384062603724,1.5,1.5
-4.07680733499887,-0.961344755362374,1.5,1.5
-3.93351112222853,-0.89134253497849,1.5,1.5
-3.78901338871038,-0.823855347593712,1.5,1.5
-3.64335827237089,-0.758903807680275,1.5,1.5
-3.49659026466795,-0.69650775517772,1.5,1.5
-3.34875419700047,-0.636686249432595,1.5,1.5
-3.19989522701443,-0.579457563376668,1.5,1.5
-3.05005882480901,-0.524839177945292,1.5,1.5
-2.89929075904749,-0.472847776737755,1.5,1.5
-2.74763708297681,-0.4234992409211,1.5,1.5
-2.59514412036032,-0.376808644379157,1.5,1.5
-2.44185845132779,-0.332790249108074,1.5,1.5
-2.28782689814713,-0.29145750085989,1.5,1.5
-2.13309651092224,-0.252823025035436,1.5,1.5
-1.97771455322116,-0.216898622827802,1.5,1.5
-1.82172848763908,-0.183695267617582,1.5,1.5
-1.66518596130049,-0.153223101620963,1.5,1.5
-1.50813479130504,-0.125491432791716,1.5,1.5
-1.35062295012144,-0.100508731978003,1.5,1.5
-1.19269855093391,-0.078282630334904,1.5,1.5
-1.0344098329456,-0.0588199169934054,1.5,1.5
-0.875805146643631,-0.0421265369866273,1.5,1.5
-0.716932939030039,-0.0282075894338583,1.5,1.5
-0.557841738823237,-0.017067325982989,1.5,1.5
-0.398580141634618,-0.00870914951181945,1.5,1.5
-0.239196795124592,-0.0031356130886202,1.5,1.5
-0.0797403841428534,-0.000348419192283345,1.5,1.5
0.0797403841428419,-0.000348419192283345,1.5,1.5
0.239196795124581,-0.0031356130886202,1.5,1.5
0.398580141634615,-0.00870914951181945,1.5,1.5
0.557841738823241,-0.017067325982989,1.5,1.5
0.716932939030036,-0.0282075894338583,1.5,1.5
0.875805146643636,-0.042126536986629,1.5,1.5
1.03440983294559,-0.0588199169934054,1.5,1.5
1.1926985509339,-0.0782826303349022,1.5,1.5
1.35062295012144,-0.100508731978003,1.5,1.5
1.50813479130504,-0.125491432791716,1.5,1.5
1.66518596130048,-0.153223101620963,1.5,1.5
1.82172848763908,-0.183695267617582,1.5,1.5
1.97771455322116,-0.2168986228278,1.5,1.5
2.13309651092224,-0.252823025035434,1.5,1.5
2.28782689814713,-0.291457500859892,1.5,1.5
2.44185845132779,-0.332790249108074,1.5,1.5
2.59514412036033,-0.376808644379159,1.5,1.5
2.74763708297681,-0.423499240921098,1.5,1.5
2.89929075904748,-0.472847776737749,1.5,1.5
3.050058824809,-0.524839177945289,1.5,1.5
