# x_m,y_m,w_tr_right_m,w_tr_left_m
105.79728190139572,-5.372967945,1.5,1.5
106.25064656530253,-5.546922907,1.5,1.5
106.7028706564699,-5.72473628,1.5,1.5
107.15368008246813,-5.90635542,1.5,1.5
107.6032971064276,-6.091925847,1.5,1.5
108.05138226578694,-6.28136327,1.5,1.5
108.4981760044194,-6.474825387,1.5,1.5
108.94330418453953,-6.672205853,1.5,1.5
109.3870505903049,-6.873686587,1.5,1.5
109.82899431205377,-7.079132144,1.5,1.5
110.26946251067864,-7.288750716,1.5,1.5
110.70800641520634,-7.502384706,1.5,1.5
111.14497126702884,-7.720258621,1.5,1.5
111.57988746179213,-7.942194504,1.5,1.5
112.01307530705529,-8.168411599,1.5,1.5
112.44412041357683,-8.398749758,1.5,1.5
112.87328991096253,-8.633407648,1.5,1.5
113.30020635392127,-8.87223505,1.5,1.5
113.72509080829184,-9.11541131,1.5,1.5
114.14761530422564,-9.362804768,1.5,1.5
114.56796836966608,-9.614581741,1.5,1.5
114.98583039885868,-9.870606681,1.5,1.5
115.40136593377446,-10.13103588,1.5,1.5
115.81430181948292,-10.39575411,1.5,1.5
116.22474858984639,-10.66488764,1.5,1.5
116.63247046362622,-10.93833746,1.5,1.5
117.03755594287738,-11.21621834,1.5,1.5
117.43977779134876,-11.49842976,1.5,1.5
117.83919515728945,-11.78506791,1.5,1.5
118.23563155593087,-12.07606131,1.5,1.5
118.62911946674402,-12.37148895,1.5,1.5
119.01947040299407,-12.67126409,1.5,1.5
119.4067018598506,-12.97545451,1.5,1.5
119.79067931255875,-13.28401033,1.5,1.5
120.17136557026893,-13.59695775,1.5,1.5
120.54865947214662,-13.91427113,1.5,1.5
120.92249754439258,-14.23595541,1.5,1.5
121.29278947730471,-14.56199243,1.5,1.5
121.65945856553353,-14.89237506,1.5,1.5
122.02243661218318,-15.22710392,1.5,1.5
122.38162510554955,-15.56615127,1.5,1.5
122.73695043798061,-15.90951167,1.5,1.5
123.08832506681885,-16.25716599,1.5,1.5
123.43567619333618,-16.60910916,1.5,1.5
123.77890486407053,-16.96530907,1.5,1.5
124.11794198117046,-17.32576365,1.5,1.5
124.4526671566818,-17.6904152,1.5,1.5
124.78304585831593,-18.0592986,1.5,1.5
125.10893028618788,-18.43232243,1.5,1.5
125.43028343159354,-18.8095191,1.5,1.5
125.74697784327793,-19.19081589,1.5,1.5
126.0589551276367,-19.5762207,1.5,1.5
126.36609604675701,-19.96566617,1.5,1.5
126.6683406224817,-20.35915805,1.5,1.5
126.96556103714838,-20.75661319,1.5,1.5
127.25771251236525,-21.15805746,1.5,1.5
127.54464063089095,-21.56336547,1.5,1.5
127.82631581969973,-21.97258433,1.5,1.5
128.10180544820068,-22.38440031,1.5,1.5
128.37044963331243,-22.79777296,1.5,1.5
128.6328974213624,-23.21364834,1.5,1.5
128.88838173733353,-23.63074983,1.5,1.5
129.13772543757048,-24.05036572,1.5,1.5
129.38002254342604,-24.47090889,1.5,1.5
129.6162278584115,-24.89398031,1.5,1.5
129.84529335247262,-25.31763692,1.5,1.5
130.06835292015526,-25.74392044,1.5,1.5
130.28415646656325,-26.17037268,1.5,1.5
130.4940502505994,-26.59959806,1.5,1.5
130.69657579504747,-27.028542,1.5,1.5
130.89319911504188,-27.4602426,1.5,1.5
131.08251731856583,-27.89155428,1.5,1.5
131.26578012308903,-28.32524409,1.5,1.5
131.44194641169895,-28.75878957,1.5,1.5
131.6118504689795,-29.19415949,1.5,1.5
131.77486370997215,-29.62968459,1.5,1.5
131.93141649971966,-30.06642537,1.5,1.5
132.08126639343428,-30.50364505,1.5,1.5
132.2244723699285,-30.94141868,1.5,1.5
132.36115329143044,-31.38004705,1.5,1.5
132.49103412592572,-31.81854345,1.5,1.5
132.6145489180393,-32.25830937,1.5,1.5
132.7311286435573,-32.69720515,1.5,1.5
132.84145046377836,-33.13770312,1.5,1.5
132.94478552871374,-33.5767768,1.5,1.5
133.04181686376447,-34.01719632,1.5,1.5
133.1320605625456,-34.45669319,1.5,1.5
133.2158377257927,-34.89667875,1.5,1.5
133.2929977780235,-35.33628143,1.5,1.5
133.36357518751683,-35.77552377,1.5,1.5
133.4276727545958,-36.21495931,1.5,1.5
133.48510850117688,-36.65313434,1.5,1.5
133.53616109655331,-37.09207081,1.5,1.5
133.58051558406808,-37.52879451,1.5,1.5
133.61849233122555,-37.9661683,1.5,1.5
133.64990510005518,-38.40189254,1.5,1.5
133.67487886940924,-38.8372583,1.5,1.5
133.69339052725456,-39.27162097,1.5,1.5
133.70545527063442,-39.7045344,1.5,1.5
133.71112028065136,-40.13720115,1.5,1.5
133.71038966998583,-40.5673301,1.5,1.5
133.70328563691223,-40.99738827,1.5,1.5
133.68986899994445,-41.42497836,1.5,1.5
133.6701214351984,-41.85176166,1.5,1.5
133.64409366403203,-42.27689709,1.5,1.5
133.6118356088002,-42.70010945,1.5,1.5
133.57327496276784,-43.12249028,1.5,1.5
133.52865027545488,-43.54179236,1.5,1.5
133.47773494902626,-43.96039463,1.5,1.5
133.4207929488174,-44.37625324,1.5,1.5
133.35770163288373,-44.79050065,1.5,1.5
133.28851401598936,-45.20284932,1.5,1.5
133.21340312717055,-45.61245698,1.5,1.5
133.13209387456607,-46.0208839,1.5,1.5
133.04510341845776,-46.42567552,1.5,1.5
132.95200095318228,-46.82898454,1.5,1.5
132.85307871054462,-47.22957241,1.5,1.5
132.74835172086497,-47.62750279,1.5,1.5
132.63762124217772,-48.02355474,1.5,1.5
132.5214553376473,-48.41580641,1.5,1.5
132.3992886916785,-48.80625111,1.5,1.5
132.27162000578312,-49.1933286,1.5,1.5
132.1382726522986,-49.57766583,1.5,1.5
131.99917676532237,-49.95947744,1.5,1.5
131.85484616776392,-50.33743467,1.5,1.5
131.7046893824462,-50.71313509,1.5,1.5
131.54934940606998,-51.08500548,1.5,1.5
131.3885058739538,-51.4538845,1.5,1.5
