x,y,L_track,R_track
45.3734829,-33.97567681,1.5,1.5
45.67154232,-34.6090492,1.5,1.5
45.97330637,-35.24066495,1.5,1.5
46.26744248,-35.87586882,1.5,1.5
46.55894441,-36.51228584,1.5,1.5
46.89121207,-37.12840125,1.5,1.5
47.16045335,-37.77455072,1.5,1.5
47.40734162,-38.42956689,1.5,1.5
47.64308234,-39.08867713,1.5,1.5
47.85385435,-39.7561913,1.5,1.5
48.09871805,-40.41196699,1.5,1.5
48.30319458,-41.08143645,1.5,1.5
48.47431892,-41.76019742,1.5,1.5
48.61381523,-42.44615717,1.5,1.5
48.72105965,-43.13789313,1.5,1.5
48.85521948,-43.82491652,1.5,1.5
48.92050819,-44.52186514,1.5,1.5
48.94428189,-45.22146132,1.5,1.5
48.92265813,-45.92112725,1.5,1.5
48.90194513,-46.62082074,1.5,1.5
48.80429518,-47.31397619,1.5,1.5
48.72567322,-48.00954688,1.5,1.5
48.56560197,-48.69099915,1.5,1.5
48.35349785,-49.35809123,1.5,1.5
48.0947708,-50.0085221,1.5,1.5
47.79647667,-50.64178398,1.5,1.5
47.45377908,-51.25215957,1.5,1.5
47.19572631,-51.90285825,1.5,1.5
46.79137178,-52.47425778,1.5,1.5
46.35470288,-53.02135947,1.5,1.5
45.8903725,-53.54518893,1.5,1.5
45.40053626,-54.04524938,1.5,1.5
44.88747904,-54.52145553,1.5,1.5
44.30509206,-54.90981799,1.5,1.5
43.75136893,-55.33805938,1.5,1.5
43.19049845,-55.75689624,1.5,1.5
42.61985115,-56.16231166,1.5,1.5
42.01283912,-56.51093235,1.5,1.5
41.43352394,-56.90386228,1.5,1.5
40.84866359,-57.28848984,1.5,1.5
40.25436189,-57.65836212,1.5,1.5
39.65434169,-58.01888362,1.5,1.5
39.05506337,-58.38063698,1.5,1.5
38.41727636,-58.66912916,1.5,1.5
37.80823609,-59.01419429,1.5,1.5
37.20342227,-59.36661483,1.5,1.5
36.60252465,-59.72567201,1.5,1.5
36.00844971,-60.09590837,1.5,1.5
35.38631343,-60.41676107,1.5,1.5
34.76407505,-60.7374157,1.5,1.5
34.1486831,-61.07102139,1.5,1.5
33.53905994,-61.41505569,1.5,1.5
32.92382442,-61.74894976,1.5,1.5
32.30863519,-62.08292913,1.5,1.5
31.69872871,-62.42646091,1.5,1.5
31.10436545,-62.79623424,1.5,1.5
30.49832793,-63.14654627,1.5,1.5
29.88928032,-63.49159846,1.5,1.5
29.30981546,-63.8843076,1.5,1.5
28.70155136,-64.23073911,1.5,1.5
28.09646811,-64.58269686,1.5,1.5
27.49249392,-64.93655443,1.5,1.5
26.8658248,-65.24846116,1.5,1.5
